date,breakouts,gate_pass,gate_block,ev_pass,ev_reject,fills,wins,pnl_pips
2018-08-21,239,137,102,0,137,0,0,0.0
2018-08-22,232,138,94,0,138,0,0,0.0
2018-08-23,217,120,97,0,120,0,0,0.0
2018-08-24,178,123,55,0,123,0,0,0.0
2018-08-26,19,12,7,0,12,0,0,0.0
2018-08-27,232,125,107,0,125,0,0,0.0
2018-08-28,226,120,106,0,120,0,0,0.0
2018-08-29,244,146,98,0,146,0,0,0.0
2018-08-30,237,141,96,0,141,0,0,0.0
2018-08-31,170,108,62,0,108,0,0,0.0
2018-09-02,21,12,9,0,12,0,0,0.0
2018-09-03,203,111,92,0,111,0,0,0.0
2018-09-04,222,132,90,0,132,0,0,0.0
2018-09-05,133,58,75,0,58,0,0,0.0
2018-09-06,224,116,108,0,116,0,0,0.0
2018-09-07,210,115,95,0,115,0,0,0.0
2018-09-09,18,2,16,0,2,0,0,0.0
2018-09-10,199,107,92,0,107,0,0,0.0
2018-09-11,251,152,99,0,152,0,0,0.0
2018-09-12,197,97,100,0,97,0,0,0.0
2018-09-13,257,144,113,0,144,0,0,0.0
2018-09-14,151,70,81,0,70,0,0,0.0
2018-09-16,0,0,0,0,0,0,0,0.0
2018-09-17,151,123,28,0,123,0,0,0.0
2018-09-18,219,138,81,0,138,0,0,0.0
2018-09-19,122,33,89,0,33,0,0,0.0
2018-09-20,211,112,99,0,112,0,0,0.0
2018-09-21,207,114,93,0,114,0,0,0.0
2018-09-23,18,12,6,0,12,0,0,0.0
2018-09-24,194,98,96,0,98,0,0,0.0
2018-09-25,246,144,102,0,144,0,0,0.0
2018-09-26,246,138,108,0,138,0,0,0.0
2018-09-27,252,149,103,0,149,0,0,0.0
2018-09-28,202,108,94,0,108,0,0,0.0
2018-09-30,25,12,13,0,12,0,0,0.0
2018-10-01,219,108,111,0,108,0,0,0.0
2018-10-02,202,100,102,0,100,0,0,0.0
2018-10-03,226,122,104,0,122,0,0,0.0
2018-10-04,227,119,108,0,119,0,0,0.0
2018-10-05,189,124,65,0,124,0,0,0.0
2018-10-07,12,11,1,0,11,0,0,0.0
2018-10-08,166,58,108,0,58,0,0,0.0
2018-10-09,218,116,102,0,116,0,0,0.0
2018-10-10,252,152,100,0,152,0,0,0.0
2018-10-11,174,105,69,0,105,0,0,0.0
2018-10-12,189,94,95,0,94,0,0,0.0
2018-10-14,19,12,7,0,12,0,0,0.0
2018-10-15,174,74,100,0,74,0,0,0.0
2018-10-16,213,105,108,0,105,0,0,0.0
2018-10-17,216,118,98,0,118,0,0,0.0
2018-10-18,244,142,102,0,142,0,0,0.0
2018-10-19,184,88,96,0,88,0,0,0.0
2018-10-21,20,12,8,0,12,0,0,0.0
2018-10-22,168,70,98,0,70,0,0,0.0
2018-10-23,226,122,104,0,122,0,0,0.0
2018-10-24,242,140,102,0,140,0,0,0.0
2018-10-25,187,115,72,0,115,0,0,0.0
2018-10-26,213,121,92,0,121,0,0,0.0
2018-10-28,17,9,8,0,9,0,0,0.0
2018-10-29,180,93,87,0,93,0,0,0.0
2018-10-30,222,113,109,0,113,0,0,0.0
2018-10-31,210,103,107,0,103,0,0,0.0
2018-11-01,239,135,104,0,135,0,0,0.0
2018-11-02,219,123,96,0,123,0,0,0.0
2018-11-04,10,0,10,0,0,0,0,0.0
2018-11-05,206,149,57,0,149,0,0,0.0
2018-11-06,248,145,103,0,145,0,0,0.0
2018-11-07,214,122,92,0,122,0,0,0.0
2018-11-08,227,124,103,0,124,0,0,0.0
2018-11-09,204,108,96,0,108,0,0,0.0
2018-11-11,7,0,7,0,0,0,0,0.0
2018-11-12,175,74,101,0,74,0,0,0.0
2018-11-13,227,124,103,0,124,0,0,0.0
2018-11-14,226,121,105,0,121,0,0,0.0
2018-11-15,219,133,86,0,133,0,0,0.0
2018-11-16,218,135,83,0,135,0,0,0.0
2018-11-18,12,0,12,0,0,0,0,0.0
2018-11-19,200,117,83,0,117,0,0,0.0
2018-11-20,201,126,75,0,126,0,0,0.0
2018-11-21,166,70,96,0,70,0,0,0.0
2018-11-22,121,106,15,0,106,0,0,0.0
2018-11-23,207,129,78,0,129,0,0,0.0
2018-11-25,10,0,10,0,0,0,0,0.0
2018-11-26,243,138,105,0,138,0,0,0.0
2018-11-27,233,132,101,0,132,0,0,0.0
2018-11-28,250,143,107,0,143,0,0,0.0
2018-11-29,232,136,96,0,136,0,0,0.0
2018-11-30,109,109,0,0,109,0,0,0.0
